lighthouse.x_x,lighthouse.x_y,lighthouse.y_x,lighthouse.y_y,lighthouse.z_x,lighthouse.z_y,stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y
73123.,0.,73123.,0.,73123.,0.,73123.,-0.1588304192,73123.,0.2274219394,73123.,0.5171108842
73153.,0.,73153.,0.,73153.,0.,73153.,-0.1575728357,73153.,0.2262602597,73153.,0.5192211270
73213.,0.,73213.,0.,73213.,0.,73213.,-0.1493444592,73213.,0.2241192162,73213.,0.5241162181
73223.,0.,73223.,0.,73223.,0.,73223.,-0.1487850994,73223.,0.2242269814,73223.,0.523431778
73233.,0.,73233.,0.,73233.,0.,73233.,-0.1483767182,73233.,0.2240884751,73233.,0.5239807367
73243.,0.,73243.,0.,73243.,0.,73243.,-0.1484200656,73243.,0.2225089818,73243.,0.5245144367
73253.,0.,73253.,0.,73253.,0.,73253.,-0.1478288025,73253.,0.2239670157,73253.,0.5250347853
73263.,0.,73263.,0.,73263.,0.,73263.,-0.1464864612,73263.,0.2228866965,73263.,0.5238876343
73273.,0.,73273.,0.,73273.,0.,73273.,-0.1464864612,73273.,0.2228866965,73273.,0.5238876343
73283.,0.,73283.,0.,73283.,0.,73283.,-0.1461218446,73283.,0.2227889150,73283.,0.5242973566
73293.,0.,73293.,0.,73293.,0.,73293.,-0.1457723975,73293.,0.2227047384,73293.,0.5246989131
73313.,0.,73313.,0.,73313.,0.,73313.,-0.1451197118,73313.,0.2225760370,73313.,0.5254464149
73353.,0.,73353.,0.,73353.,0.,73353.,-0.1449672431,73353.,0.2234236449,73353.,0.5282335877
73363.,0.,73363.,0.,73363.,0.,73363.,-0.1447324306,73363.,0.2234443724,73363.,0.5287380219
73373.,0.,73373.,0.,73373.,0.,73373.,-0.1469165981,73373.,0.2235420346,73373.,0.5292556286
73383.,0.,73383.,0.,73383.,0.,73383.,-0.146740526,73383.,0.2235864997,73383.,0.5297834277
73393.,0.,73393.,0.,73393.,0.,73393.,-0.1453904212,73393.,0.2247152925,73393.,0.5313500762
73403.,0.,73403.,0.,73403.,0.,73403.,-0.1452121139,73403.,0.2247992754,73403.,0.5319544077
73413.,0.,73413.,0.,73413.,0.,73413.,-0.1464904547,73413.,0.2242912352,73413.,0.532563746
73423.,0.,73423.,0.,73423.,0.,73423.,-0.1447167397,73423.,0.2271619290,73423.,0.5331782699
73433.,0.,73433.,0.,73433.,0.,73433.,-0.1457467675,73433.,0.226788342,73433.,0.5337951183
73443.,0.,73443.,0.,73443.,0.,73443.,-0.1447697133,73443.,0.227718398,73443.,0.5338414907
73453.,0.,73453.,0.,73453.,0.,73453.,-0.1457598507,73453.,0.2282588631,73453.,0.5344048738
73463.,0.,73463.,0.,73463.,0.,73463.,-0.1451968998,73463.,0.2278365493,73463.,0.5349538922
73473.,0.,73473.,0.,73473.,0.,73473.,-0.1487808973,73473.,0.2273629308,73473.,0.5354899168
73483.,0.,73483.,0.,73483.,0.,73483.,-0.148954019,73483.,0.2268990129,73483.,0.5360064507
73493.,0.,73493.,0.,73493.,0.,73493.,-0.1503410488,73493.,0.2292199284,73493.,0.5365151763
73503.,0.,73503.,0.,73503.,0.,73503.,-0.150204286,73503.,0.2294310182,73503.,0.5370131135
73513.,0.,73513.,0.,73513.,0.,73513.,-0.1496924907,73513.,0.2287813425,73513.,0.5374954343
